DAY,MAXST,MINST,AVST,MAXAT,MINAT,AVAT,EVAP
6,84,65,147,85,59,151,30
7,84,65,149,86,61,159,34
8,79,66,142,83,64,152,33
9,81,67,147,83,65,158,26
10,84,68,167,88,69,180,41
11,74,66,131,77,67,147,4
12,73,66,131,78,69,159,5
13,75,67,134,84,68,159,20
14,84,68,161,89,71,195,31
15,86,72,169,91,76,206,38
16,88,73,178,91,76,208,43
17,90,74,187,94,76,211,47
18,88,72,171,94,75,211,45
19,88,72,171,92,70,201,45
20,81,69,154,87,68,167,11
21,79,68,149,83,68,162,10
22,84,69,160,87,66,173,30
23,84,70,160,87,68,177,29
24,84,70,168,88,70,169,23
25,77,67,147,83,66,170,16
26,87,67,166,92,67,196,37
27,89,69,171,92,72,199,50
28,89,72,180,94,72,204,36
29,93,72,186,92,73,201,54
30,93,74,188,93,72,206,44
