seq,sex,RK,YR,DG,SL
1,0,3,25,1,36350
2,0,3,13,1,35350
3,0,3,10,1,28200
4,1,3,7,1,26775
5,0,3,19,0,33696
6,0,3,16,1,28516
7,1,3,0,0,24900
8,0,3,16,1,31909
9,0,3,13,0,31850
10,0,3,13,0,32850
11,0,3,12,1,27025
12,0,2,15,1,24750
13,0,3,9,1,28200
14,0,2,9,0,23712
15,0,3,9,1,25748
16,0,3,7,1,29342
17,0,3,13,1,31114
18,0,2,11,0,24742
19,0,2,10,0,22906
20,0,3,6,0,24450
21,0,1,16,0,19175
22,0,2,8,0,20525
23,0,3,7,1,27959
24,1,3,8,1,38045
25,0,2,9,1,24832
26,0,3,5,1,25400
27,0,2,11,1,24800
28,1,3,5,1,25500
29,0,2,3,0,26182
30,0,2,3,0,23725
31,1,1,10,0,21600
32,0,2,11,0,23300
33,0,1,9,0,23713
34,1,2,4,0,20690
35,1,2,6,0,22450
36,0,2,1,1,20850
37,1,1,8,1,18304
38,0,1,4,1,17095
39,0,1,4,1,16700
40,0,1,4,1,17600
41,0,1,3,1,18075
42,0,1,3,0,18000
43,0,2,0,1,20999
44,1,1,3,1,17250
45,0,1,2,1,16500
46,0,1,2,1,16094
47,1,1,2,1,16150
48,1,1,2,1,15350
49,0,1,1,1,16244
50,1,1,1,1,16686
51,1,1,1,1,15000
52,1,1,0,1,20300
