number,X1,X2,X3,X4,Y
1,217,67,260,91,481
2,141,52,190,66,292
3,152,58,203,68,338
4,153,56,183,70,357
5,180,66,170,77,396
6,193,71,178,82,429
7,162,65,160,74,345
8,180,80,170,84,469
9,205,77,188,83,425
10,168,74,170,79,358
11,232,65,220,72,393
12,146,68,158,68,346
13,173,51,243,56,279
14,155,64,198,59,311
15,212,66,220,77,401
16,138,70,180,62,267
17,147,54,150,75,404
18,197,76,228,88,442
19,165,59,188,70,368
20,125,58,160,66,295
21,161,52,190,69,391
22,132,62,163,59,264
23,257,64,313,96,487
24,236,72,225,84,481
25,149,57,173,68,374
26,161,57,173,65,309
27,198,59,220,62,367
28,245,70,218,69,469
29,141,63,193,60,252
30,177,53,183,75,338
