 Y         X        L
218       100       1              
248       125       1              
360       220       1              
351       205       1              
470       300       1              
394       255       1              
332       225       1              
321       175       1              
410       270       1              
260       170       1              
241       155       1              
331       190       1              
275       140       1           
425       290       1
367       265       1
140      105      0
277      215      0
384      270      0
341      255      0
215      175      0
180      135      0
260      200      0
361      275      0
252      155      0
422      320      0
273      190      0
410      295      0
