seq gukeo math     mid
1  79.96 91.70  188.13
2  65.93 63.37  146.42
3  80.15 85.82  182.66
4  65.51 61.67  143.13
5  80.88 82.81  173.45
6  68.29 80.92  168.32
7  69.52 79.70  167.35
8  67.19 61.19  140.35
9  74.37 66.35  153.92
10 79.22 88.15  182.20
11 76.79 87.08  179.77
12 71.88 61.20  143.25
13 86.40 92.38  189.71
14 71.48 77.09  165.97
15 77.85 75.45  166.21
16 77.94 73.04  158.78
17 72.85 88.24  184.99
18 76.25 75.28  164.92
19 80.97 94.75  196.93
20 76.52 84.01  177.07
21 73.69 94.50  191.23
22 79.67 60.24  146.31
23 73.18 73.54  161.43
24 72.12 60.89  138.13
25 67.05 73.20  158.43
26 78.41 77.51  166.83
27 75.35 89.98  178.04
28 82.63 76.63  171.25
29 74.03 77.39  169.88
30 68.72 84.47  171.39
