year tcratio    motor
1966     0.9     59.5              
1967     2.0     77.1              	
1968     4.1    107.4              
1969     5.6    159.5              
1970    12.0    188.2              
1971    23.6    205.5              
1972    22.5    209.7              
1973    24.2    229.7       
1974    21.3    220.4  
1975    40.8    238.7     
1976    74.3    267.8
1977    91.2    345.0
1978   118.3    500.1
1979   128.8    643.2 
1980    84.6    653.4
1981    51.1    691.1
1982   267.7    777.6
1983   398.1    954.6
1984   438.6   1151.2
1985   487.2   1364.2
1986   519.1   1612.8
1987   730.0   2030.9
1988   874.1   2663.5
1989  1026.4   3677.8
1990  1138.1   4840.1

